id,input_path,crop_path,x,y,w,h,ocr_text,ocr_conf,method
60600124,/Users/mainframe/Workspace/ML/WV-Team/data/photos/60600124_2.png,/Users/mainframe/Workspace/ML/WV-Team/data/crops/60600124_2_label.jpg,30,214,96,54,I800,0.8516486287117004,ocr_union
60600124,/Users/mainframe/Workspace/ML/WV-Team/data/photos/60600124_1.webp,/Users/mainframe/Workspace/ML/WV-Team/data/crops/60600124_1_label.jpg,204,123,194,276,I800,0.9751770496368408,ocr_union
60600125,/Users/mainframe/Workspace/ML/WV-Team/data/photos/60600125_2.png,/Users/mainframe/Workspace/ML/WV-Team/data/crops/60600125_2_label.jpg,30,214,96,54,I800,0.8516486287117004,ocr_union
60600125,/Users/mainframe/Workspace/ML/WV-Team/data/photos/60600125_1.webp,/Users/mainframe/Workspace/ML/WV-Team/data/crops/60600125_1_label.jpg,204,123,194,276,I800,0.9751770496368408,ocr_union
60600126,/Users/mainframe/Workspace/ML/WV-Team/data/photos/60600126_2.png,/Users/mainframe/Workspace/ML/WV-Team/data/crops/60600126_2_label.jpg,30,234,100,66,1800,0.9992216229438782,ocr_union
60600126,/Users/mainframe/Workspace/ML/WV-Team/data/photos/60600126_1.webp,/Users/mainframe/Workspace/ML/WV-Team/data/crops/60600126_1_label.jpg,208,266,195,207,SILVER,0.9991875764401933,ocr_union
10101959,/Users/mainframe/Workspace/ML/WV-Team/data/photos/10101959_2.png,/Users/mainframe/Workspace/ML/WV-Team/data/crops/10101959_2_label.jpg,19,150,123,100,1969,0.9999095823400674,ocr_union
10101959,/Users/mainframe/Workspace/ML/WV-Team/data/photos/10101959_1.webp,/Users/mainframe/Workspace/ML/WV-Team/data/crops/10101959_1_label.jpg,227,135,340,404,1969,0.9308179020881653,ocr_union
20401642,/Users/mainframe/Workspace/ML/WV-Team/data/photos/20401642_2.png,/Users/mainframe/Workspace/ML/WV-Team/data/crops/20401642_2_label.jpg,44,40,70,38,MARS,0.9999517798423767,ocr_union
20401642,/Users/mainframe/Workspace/ML/WV-Team/data/photos/20401642_1.webp,/Users/mainframe/Workspace/ML/WV-Team/data/crops/20401642_1_label.jpg,147,72,336,387,MARS,0.9998391270637512,ocr_union
